House Type,Total Area (sq. ft.),Floors,Foundation Type,Material Quality,Location,Bedrooms,Bathrooms,Roof Type,Parking,Additional Features,Labor Cost,Material Cost,Total Estimated Cost
traditional,611,1,pile,premium,Pokhara,1,4,metal,yes,none,366600,1222000,1588600
apartment,3108,1,RCC,standard,Kathmandu,5,2,sloped,no,solar panels,1243200,4662000,6105200
apartment,1672,1,RCC,standard,Terai,3,2,sloped,yes,none,668800,2508000,3176800
traditional,3167,3,RCC,standard,Bhaktapur,6,4,RCC,yes,basement,1266800,4750500,6517300
apartment,1845,3,RCC,premium,Terai,1,1,flat,no,basement,1107000,3690000,5297000
apartment,2640,5,RCC,low,Kathmandu,3,2,flat,no,basement,792000,3168000,4460000
traditional,4676,5,normal,premium,Kathmandu,4,2,metal,no,garden,2805600,9352000,12307600
modern,3892,1,RCC,standard,Bhaktapur,1,1,metal,no,garden,1556800,5838000,7544800
modern,559,4,normal,low,Bhaktapur,4,1,RCC,no,basement,167700,670800,1338500
apartment,4428,1,pile,low,Terai,2,2,flat,no,solar panels,1328400,5313600,6842000
traditional,1930,3,RCC,low,Terai,2,2,flat,yes,basement,579000,2316000,3395000
modern,3053,3,RCC,premium,Pokhara,5,2,metal,yes,solar panels,1831800,6106000,8137800
traditional,1244,2,RCC,premium,Pokhara,4,3,metal,no,none,746400,2488000,3234400
traditional,1765,1,normal,low,Lalitpur,4,1,flat,no,garden,529500,2118000,2797500
apartment,2962,4,pile,low,Pokhara,4,2,sloped,yes,garden,888600,3554400,4593000
apartment,2864,5,RCC,premium,Bhaktapur,6,2,flat,no,solar panels,1718400,5728000,7646400
modern,4776,4,normal,standard,Pokhara,3,3,sloped,no,solar panels,1910400,7164000,9274400
apartment,3204,5,RCC,low,Lalitpur,3,4,sloped,no,swimming pool,961200,3844800,5606000
traditional,2279,5,RCC,low,Bhaktapur,3,2,flat,no,basement,683700,2734800,3918500
modern,4974,3,normal,standard,Lalitpur,2,4,sloped,no,garden,1989600,7461000,9600600
apartment,1036,5,pile,low,Lalitpur,6,3,flat,yes,swimming pool,310800,1243200,2354000
apartment,1222,2,RCC,standard,Kathmandu,6,1,metal,no,solar panels,488800,1833000,2521800
traditional,3261,2,RCC,standard,Kathmandu,6,3,sloped,no,none,1304400,4891500,6195900
traditional,4480,1,normal,premium,Kathmandu,3,4,RCC,yes,solar panels,2688000,8960000,11848000
traditional,3175,4,pile,standard,Lalitpur,4,4,flat,no,garden,1270000,4762500,6182500
apartment,2160,2,RCC,standard,Terai,2,4,flat,yes,swimming pool,864000,3240000,4904000
modern,3667,1,pile,low,Lalitpur,6,4,metal,yes,solar panels,1100100,4400400,5700500
traditional,4056,3,normal,premium,Kathmandu,2,2,flat,no,solar panels,2433600,8112000,10745600
apartment,4362,3,pile,premium,Bhaktapur,1,2,sloped,yes,swimming pool,2617200,8724000,12141200
modern,3271,4,normal,standard,Kathmandu,5,2,RCC,yes,garden,1308400,4906500,6364900
modern,3441,1,pile,standard,Terai,4,1,RCC,no,basement,1376400,5161500,7037900
apartment,4114,2,RCC,low,Kathmandu,5,3,RCC,no,none,1234200,4936800,6171000
